name,type_name,character_name,number,image_url
So That I Can Be Me,,-,BP01-108,https://img.ultraman-cardgame.com/images/card_details/6b021635eba01facdf5584822e9c9c13f3dd5a23.png
"Light and Darkness, Again",,-,BP01-104,https://img.ultraman-cardgame.com/images/card_details/154de441713ef2aaa71891b2912d1b3d70bf67ad.png
The Champion of the Fierce Fight,,-,BP01-103,https://img.ultraman-cardgame.com/images/card_details/ed5170cf8af3d0250fc3b3fe7669e0cb97f6a51e.png
Legend of the Stone,,-,BP01-101,https://img.ultraman-cardgame.com/images/card_details/b7342a92e475be277dca0435bb6e9a19b8045a3c.png
The Ultra-Ancient Dark Monster,Golba,GOLBA,BP01-100,https://img.ultraman-cardgame.com/images/card_details/e09edaecb071609dc15d58fd057dcceb26250608.png
The Ferocious Space Shark Genegarg,Genegarg,GENEGARG,BP01-099,https://img.ultraman-cardgame.com/images/card_details/d25a4c32b7e0ae3c1545114ace5034313d4de45b.png
The Belial Fusion Monster Thunder Killer,Thunder Killer,THUNDER KILLER,BP01-098,https://img.ultraman-cardgame.com/images/card_details/f57d0af2864813d1b86e0163110882ba72236046.png
Darklops Zero,Darklops Zero,DARKLOPS ZERO,BP01-097,https://img.ultraman-cardgame.com/images/card_details/b767eef76982f21e97e5cf88db51e316b9f1164c.png
The Space Combat Beast C.O.V.,C.O.V.,C.O.V.,BP01-096,https://img.ultraman-cardgame.com/images/card_details/1c8a507d7ad081ff2ca93a594ee692673222b125.png
The Space Crustacean Kaiju Bazanga,Bazanga,BAZANGA,BP01-095,https://img.ultraman-cardgame.com/images/card_details/f80b8dd6bea550f285ef93dd5a39759e69889e2b.png
The Space Iron-Slashing Monster Dinozole,Dinozole,DINOZOLE,BP01-093,https://img.ultraman-cardgame.com/images/card_details/e80a8ebc92f5f385494b4e7f0d9d08c774915845.png
The Armored Shell Beast Shagong,Shagong,SHAGONG,BP01-092,https://img.ultraman-cardgame.com/images/card_details/8a887274c0f5450bfd3eb9aa2191941c5a0530a2.png
Ultraman Trigger,Ultra Dual Sword,TRIGGER,BP01-090,https://img.ultraman-cardgame.com/images/card_details/581587b8066a63f275b65c5cdc3147ccb7b29055.png
Ultraman Trigger,Ultra Dual Sword,TRIGGER,BP01-089,https://img.ultraman-cardgame.com/images/card_details/3637964ecea922214abf27209fba9e8372a47e73.png
Ultraman Trigger,Ultra Dual Sword,TRIGGER,BP01-088,https://img.ultraman-cardgame.com/images/card_details/d2ce3f1c30c5dbc9753fd1a229f7f6451fd87906.png
Ultraman Trigger,Sky Type,TRIGGER,BP01-087,https://img.ultraman-cardgame.com/images/card_details/7d7bcfc80cf963f4eb95d83bc9686e73f4db6fa3.png
Ultraman Trigger,Power Type,TRIGGER,BP01-086,https://img.ultraman-cardgame.com/images/card_details/aee6bbfd9ee060d4b373d47b61e80b4e5dd2003e.png
Ultraman Trigger,Circle Arms,TRIGGER,BP01-084,https://img.ultraman-cardgame.com/images/card_details/1922a1e57c6c3c4c3a40e1e96bbd84bac7190b7c.png
Ultraman Trigger,Multi Type,TRIGGER,BP01-083,https://img.ultraman-cardgame.com/images/card_details/b6319c837a87dfb961c1ce7f3587814dcf31da9f.png
Ultraman Z,Gamma Future,Z,BP01-081,https://img.ultraman-cardgame.com/images/card_details/1242b951fac848eba0397fcaad48ba662decfe1c.png
Ultraman Z,Beta Smash,Z,BP01-080,https://img.ultraman-cardgame.com/images/card_details/b6528fffd6b69162d6b0fb0450018f219ce60def.png
Ultraman Z,M78 Style Shining Tornado Slash,Z,BP01-079,https://img.ultraman-cardgame.com/images/card_details/eba70326bded6f7d40bb95b3e09a1d875564184d.png
Ultraman Z,Z Lance Arrow,Z,BP01-078,https://img.ultraman-cardgame.com/images/card_details/4429b71a0932d1d90eaa64e243ee96555b56a201.png
Ultraman Z,Ultra Z Riser,Z,BP01-077,https://img.ultraman-cardgame.com/images/card_details/3582c28549e9499b70b29429460d10f6ae92887f.png
Ultraman Z,Original,Z,BP01-075,https://img.ultraman-cardgame.com/images/card_details/ea87b4dfb38321d1fc84c8ac01dc1d764d03f013.png
Ultraman Z,Original,Z,BP01-074,https://img.ultraman-cardgame.com/images/card_details/bd5c373d8f506d96b47ed0840f0c836bb646a220.png
Ultraman Z,Alpha Edge,Z,BP01-073,https://img.ultraman-cardgame.com/images/card_details/31d3cba73d9766998ef0b823018d69f4c7da75ba.png
Ultraman Geed,Atmos Impact,GEED,BP01-072,https://img.ultraman-cardgame.com/images/card_details/aa14864e9020c6e8589fbd41ed114113cbc59164.png
Ultraman Geed,Strike Boost,GEED,BP01-071,https://img.ultraman-cardgame.com/images/card_details/98c181e02192c0ffa220a3aac5c06e1d65eed30f.png
Ultraman Geed,Geed Claw,GEED,BP01-070,https://img.ultraman-cardgame.com/images/card_details/97201f8ec56b3277142f0afa69f09000b15d7224.png
Ultraman Geed,Acro Smasher,GEED,BP01-069,https://img.ultraman-cardgame.com/images/card_details/7a0d03c666b88eedd8c962579468e0ebeaee8c49.png
Ultraman Geed,Solid Burning,GEED,BP01-068,https://img.ultraman-cardgame.com/images/card_details/f90faaf46ffccd3dde03bfc16ab28cb1a9d85887.png
Ultraman Geed,,GEED,BP01-067,https://img.ultraman-cardgame.com/images/card_details/bffa29a6ff5b9c6b09ef143c4615b99b47c50f89.png
Ultraman Geed,Primitive,GEED,BP01-066,https://img.ultraman-cardgame.com/images/card_details/640e684f9464a0f863c98b7c9af927ba7fe3c96f.png
Ultraman Zero,Zero Sluggers,ZERO,BP01-061,https://img.ultraman-cardgame.com/images/card_details/0dce59d4c836ecc0d92cc5c9417e7879f1774976.png
Ultraman Gaia,V2,GAIA,BP01-053,https://img.ultraman-cardgame.com/images/card_details/7fafd46271e5f729dda3229eb49857cc24825f6a.png
Ultraman Gaia,Photon Edge,GAIA,BP01-052,https://img.ultraman-cardgame.com/images/card_details/98a9a2f578b1c5f50e23036d65565c7c9ea9af83.png
Ultraman Gaia,V2,GAIA,BP01-051,https://img.ultraman-cardgame.com/images/card_details/3ac6f05b0af0b0529168ab1516a47f779646a004.png
Ultraman Gaia,V1,GAIA,BP01-050,https://img.ultraman-cardgame.com/images/card_details/94cad2e8bc5e7cc429cdfbba09046881a073d010.png
Ultraman Gaia,,GAIA,BP01-049,https://img.ultraman-cardgame.com/images/card_details/4b0f6e3d3d033d54f4e589851372afd946075545.png
Ultraman Gaia,V1,GAIA,BP01-048,https://img.ultraman-cardgame.com/images/card_details/d00fe9966f34cf0364278234c5e411c3b5293004.png
Ultraman Blazar,,BLAZAR,BP01-039,https://img.ultraman-cardgame.com/images/card_details/76d6e456fc714bca41fef3c3558a4ee4cfd8d4a5.png
Ultraman Blazar,,BLAZAR,BP01-037,https://img.ultraman-cardgame.com/images/card_details/f6d58afed73e8ce689b767266d1dc0471eea1583.png
Ultraman Decker,Miracle Type,DECKER,BP01-033,https://img.ultraman-cardgame.com/images/card_details/dcc2d84dd525b739e2845fb2c25fc257e00df29d.png
Ultraman Decker,Strong Type,DECKER,BP01-032,https://img.ultraman-cardgame.com/images/card_details/7a7e238350186151a61b51657d2f499ebcb17acc.png
Ultraman Decker,,DECKER,BP01-031,https://img.ultraman-cardgame.com/images/card_details/3a62c032d708b93d03fbf902026695d0d9ca2ed2.png
Ultraman Decker,Flash Type,DECKER,BP01-030,https://img.ultraman-cardgame.com/images/card_details/eb29d6c00522cc31bd1e135173625168fe85ab65.png
Ultraman Decker,Flash Type,DECKER,BP01-029,https://img.ultraman-cardgame.com/images/card_details/6283a3762aaa3b3db403e8534e32781e405010cc.png
Ultraman Mebius,Blade Overload,MEBIUS,BP01-027,https://img.ultraman-cardgame.com/images/card_details/3d37ffe171f8659784ab41bb29453fe8402e24f1.png
Ultraman Mebius,Mebium Knight Blade,MEBIUS,BP01-026,https://img.ultraman-cardgame.com/images/card_details/1b0493edbdafbcfefddc973dba4be27c5d17ad76.png
Ultraman Mebius,Mebium Knight Blade,MEBIUS,BP01-025,https://img.ultraman-cardgame.com/images/card_details/0c330cc584e5749e19f371320ed88fdbd54259ec.png
Ultraman Mebius,,MEBIUS,BP01-024,https://img.ultraman-cardgame.com/images/card_details/2d9de910b572064d47b0d8c00dd3432c649311eb.png
Ultraman Mebius,,MEBIUS,BP01-022,https://img.ultraman-cardgame.com/images/card_details/a28c53d25ce7265fb5136c946fe53d952fd5e496.png
Ultraman Mebius,,MEBIUS,BP01-021,https://img.ultraman-cardgame.com/images/card_details/39e820086a7f055f5c4219c006ea82b49013679f.png
Ultraman Mebius,,MEBIUS,BP01-020,https://img.ultraman-cardgame.com/images/card_details/adcbad7e2899e4891ed49688763713ec441f2384.png
Ultraman Mebius,,MEBIUS,BP01-019,https://img.ultraman-cardgame.com/images/card_details/eec88e8ad631f1fe1a753704a47b4fb3f7994371.png
Ultraman Arc,Solis Armor,ARC,BP01-017,https://img.ultraman-cardgame.com/images/card_details/f6266430edf0581749e07fd6a8c91c2554a943d5.png
Ultraman Arc,Solis Armor,ARC,BP01-015,https://img.ultraman-cardgame.com/images/card_details/b7f08f747c41028f5301fd3842a2972a7e313d12.png
Ultraman Arc,Luna Armor,ARC,BP01-014,https://img.ultraman-cardgame.com/images/card_details/4b06e238ab52a012e57445a87e30d0ca5ba703d6.png
Ultraman Arc,,ARC,BP01-013,https://img.ultraman-cardgame.com/images/card_details/577eb12670709608fca7cb3e3a9c816e8854641b.png
Ultraman Arc,,ARC,BP01-012,https://img.ultraman-cardgame.com/images/card_details/f33e3a9bf50691cfc1852d53ab34655c4e6d9906.png
Ultraman Arc,,ARC,BP01-011,https://img.ultraman-cardgame.com/images/card_details/ccbf3e7eeed95cf87d48b7192565ce60b578c111.png
Ultraman Tiga,Zeperion Beam,TIGA,BP01-007,https://img.ultraman-cardgame.com/images/card_details/f7680c3dbabda7adcc0c7c7197ed1b114fb84f92.png
Ultraman Tiga,,TIGA,BP01-004,https://img.ultraman-cardgame.com/images/card_details/325d1220f3ca071d4f9afded48689ea6fb715ae8.png
Ultraman Blazar,,BLAZAR,BP01-040,https://img.ultraman-cardgame.com/images/card_details/f87773f5b0abb351c53f56854b8c0ba5c421a7d2.png
The Belial Fusion Monster Pedanium Zetton,Pedanium Zetton,PEDANIUM ZETTON,SD02-013,https://img.ultraman-cardgame.com/images/card_details/d3c1152c18b3b322f59155d489861904e68d4c82.webp
Ultraman Z,Z Slugger,Z,SD02-010,https://img.ultraman-cardgame.com/images/card_details/26588f2bc44007454875b389d5717190dc962785.webp
Ultraman Geed,Galaxy Burst,GEED,SD02-008,https://img.ultraman-cardgame.com/images/card_details/09423603f2390182c38339a2792599fc0aedcf24.webp
Ultraman Geed,Galaxy Rising,GEED,SD02-007,https://img.ultraman-cardgame.com/images/card_details/bac54f8c79e2b3d0061e4f2c232d5d004dfcb191.webp
Ultraman Zero,Wide Zero Shot,ZERO,SD02-006,https://img.ultraman-cardgame.com/images/card_details/2827636060be373bad20fd225a8f84a5af7d2009.webp
Ultraman Zero,Emerium Slash,ZERO,SD02-005,https://img.ultraman-cardgame.com/images/card_details/b4666df02d5d7da28c0103a6796ea4031bb5d818.webp
The Strongest Combined Kaiju King of Mons,King of Mons,KING OF MONS,SD01-013,https://img.ultraman-cardgame.com/images/card_details/66a44d9b591f3acc82be4fce9c099c8c94e2fc92.webp
Ultraman Gaia,Photon Edge,GAIA,SD01-011,https://img.ultraman-cardgame.com/images/card_details/3592d5a495cbb5b1a038b739efb2038da0226cb8.webp
Ultraman Dyna,Flash Type,DYNA,SD01-008,https://img.ultraman-cardgame.com/images/card_details/d121c0b84e3ed75ccaa2ac7697eca23a73f21814.webp
Ultraman Dyna,Flash Type,DYNA,SD01-007,https://img.ultraman-cardgame.com/images/card_details/bfc79df4e8f7786524435d633bbd6206b9e6cebf.webp
Ultraman Tiga,Zeperion Beam,TIGA,SD01-006,https://img.ultraman-cardgame.com/images/card_details/a28afa7ccc1b82d40cf3d8c832d8b75e3e5f3360.webp
Ultraman Tiga,Multi Type,TIGA,SD01-005,https://img.ultraman-cardgame.com/images/card_details/41ff506c84287e4fae896d127a1bf0d0dabcad94.webp
Ultraman Tiga,Multi Type,TIGA,SD01-004,https://img.ultraman-cardgame.com/images/card_details/1ca6d3a1674c6d9acc49057f40fa1c69bffc225d.webp
His Majesty's Medal,,-,SD02-014,https://img.ultraman-cardgame.com/images/card_details/3c0b709f67153033ca72e4071e47150fb35332da.webp
The Belial Fusion Monster Skull Gomora,Skull Gomora,SKULL GOMORA,SD02-012,https://img.ultraman-cardgame.com/images/card_details/b2cba9c344b0fa7c38ba6ec077bbdc5ed204deed.webp
Ultraman Z,Z Lance Arrow,Z,SD02-011,https://img.ultraman-cardgame.com/images/card_details/84e041090e8e5a039a98014db2a854fadf646a08.webp
Ultraman Geed,Wrecking Phoenix,GEED,SD02-009,https://img.ultraman-cardgame.com/images/card_details/d0d7ba3df24c9b29de9c6771d2cc5c10666be32e.webp
Ultraman Zero,Ultra Zero Mantle,ZERO,SD02-004,https://img.ultraman-cardgame.com/images/card_details/1a6319deb1abcd269c43088887fdbdf89af720b3.webp
Ultraman Geed,Galaxy Rising,GEED,SD02-003,https://img.ultraman-cardgame.com/images/card_details/a5b13ceab008a6cfb9aa92ab91d1358007c69f01.webp
Ultraman Zero,Ultra Zero Mantle,ZERO,SD02-002,https://img.ultraman-cardgame.com/images/card_details/f16d205ed1e0ac0807398e6599b42b774ff271c2.webp
Ultraman Z,Alpha Edge,Z,SD02-001,https://img.ultraman-cardgame.com/images/card_details/1ff11ca17e366e849a1cef795baf2ec3a5e72a53.webp
"Ultraman Tiga, Ultraman Dyna & Ultraman Gaia: The Battle in Hyper Space",,-,SD01-014,https://img.ultraman-cardgame.com/images/card_details/5680ff4432cdebd21da9196467a8ec415883ea71.webp
The Giant Aberrant Beast Satan Bizor,Satan Bizor,SATAN BIZOR,SD01-012,https://img.ultraman-cardgame.com/images/card_details/9449ab71ebfe388720b0a6f9483ea2cb1226d000.webp
Ultraman Gaia,V2,GAIA,SD01-010,https://img.ultraman-cardgame.com/images/card_details/c7dc1c5108dbd8e11f9266a014f47ae7fbd62308.webp
Ultraman Dyna,Solgent Beam,DYNA,SD01-009,https://img.ultraman-cardgame.com/images/card_details/87ac30333ce189c0418301b3dd1e88fc242dd492.webp
Ultraman Gaia,V2,GAIA,SD01-003,https://img.ultraman-cardgame.com/images/card_details/e3560dd1432b2f9eda2764b5db128266ee0b5ed2.webp
Ultraman Tiga,Multi Type,TIGA,SD01-002,https://img.ultraman-cardgame.com/images/card_details/f61c27ba0ea2b2d7a86b09de8f8197b91dd90c79.webp
Ultraman Dyna,Flash Type,DYNA,SD01-001,https://img.ultraman-cardgame.com/images/card_details/613515f34d9d971c7993a2e244a5dfdbed39f80c.webp
Mega Monster Battle Ultra Galaxy: The Movie,,-,BP01-107,https://img.ultraman-cardgame.com/images/card_details/72da121414c381f2c58cab0659fdf4a48576162c.png
The Final Resolution,,-,BP01-106,https://img.ultraman-cardgame.com/images/card_details/28b0377b588f8514415980d19f127b101d5a08a3.png
The Man who Created SKaRD,,-,BP01-105,https://img.ultraman-cardgame.com/images/card_details/cf6ec803549b0481ac8dc49f3221555c4e16ba10.png
Arc to the Future,,-,BP01-102,https://img.ultraman-cardgame.com/images/card_details/7af22d4e04fdd04859209715d24aadfd2251f476.png
The Dynamic Fusion Monster Spheresaurus,Spheresaurus,SPHERESAURUS,BP01-094,https://img.ultraman-cardgame.com/images/card_details/44ed7c2aa2329643669a695e02d42220397a01af.png
The Ultra-Ancient Monster Golza,Golza,GOLZA,BP01-091,https://img.ultraman-cardgame.com/images/card_details/ce5d8794dc3c14202dd4201b3cf863fc6fe27547.png
Ultraman Trigger,,TRIGGER,BP01-085,https://img.ultraman-cardgame.com/images/card_details/799b44526ce869fa24787bfe11f50c4d2a216c8d.png
Ultraman Trigger,Multi Type,TRIGGER,BP01-082,https://img.ultraman-cardgame.com/images/card_details/6784d5a661a852b4ed8816febf6956383ba47919.png
Ultraman Z,,Z,BP01-076,https://img.ultraman-cardgame.com/images/card_details/1af8254b75ac28fa6d4e8d6f92e1fb7cd4576ace.png
Ultraman Geed,Primitive,GEED,BP01-065,https://img.ultraman-cardgame.com/images/card_details/a2a5ac1d54222bf553d509907d01b07ecf34e435.png
Ultraman Geed,Primitive,GEED,BP01-064,https://img.ultraman-cardgame.com/images/card_details/fabc08aa90b92e687f66392c7c069a2b6783161e.png
Ultraman Zero,,ZERO,BP01-063,https://img.ultraman-cardgame.com/images/card_details/c51289e2f072c46144460615f258ccc0118b9575.png
Ultraman Zero,Plasma Spark Slash,ZERO,BP01-062,https://img.ultraman-cardgame.com/images/card_details/9fc998b318403b6527e34eacdd94ef752be7d3b9.png
Ultraman Zero,,ZERO,BP01-060,https://img.ultraman-cardgame.com/images/card_details/9d56f0f396a3038b8495aec2820b278eee16a8bb.png
Ultraman Zero,,ZERO,BP01-059,https://img.ultraman-cardgame.com/images/card_details/258215fd4dbfaa952658c632be7d6f550f158da2.png
Ultraman Zero,,ZERO,BP01-058,https://img.ultraman-cardgame.com/images/card_details/0ac94a83072e2c9c1aba3914d746f97d3bd64b3b.png
Tector Gear Zero,,ZERO,BP01-057,https://img.ultraman-cardgame.com/images/card_details/06bbd2cf06f0f6df0a213ea0b5cf8297ba3959ff.png
Tector Gear Zero,,ZERO,BP01-056,https://img.ultraman-cardgame.com/images/card_details/82501f27e683cc681318401863dc9b26eb37189e.png
Ultraman Zero,,ZERO,BP01-055,https://img.ultraman-cardgame.com/images/card_details/458732766fd8369cc4b73f26e4dde03722ef3763.png
Ultraman Gaia,V2,GAIA,BP01-054,https://img.ultraman-cardgame.com/images/card_details/d4f355ba07c2c70819d81bbdf931f604857e0ee0.png
Ultraman Gaia,V1,GAIA,BP01-047,https://img.ultraman-cardgame.com/images/card_details/469f7d6c05e3bbce3e640567e0dc4e0638c405f3.png
Ultraman Gaia,V1,GAIA,BP01-046,https://img.ultraman-cardgame.com/images/card_details/f34eed6ae4f63e2223e88efdf2541b94a860ea20.png
Ultraman Blazar,,BLAZAR,BP01-045,https://img.ultraman-cardgame.com/images/card_details/e3832de2a9a2ed6b896bff13acd78352a3a33bcf.png
Ultraman Blazar,Suppressive Sprite,BLAZAR,BP01-044,https://img.ultraman-cardgame.com/images/card_details/b7ffbbc625fd23fa83438738e2704f74047ee7ec.png
Ultraman Blazar,Spiral Burrade,BLAZAR,BP01-043,https://img.ultraman-cardgame.com/images/card_details/b56e13b99b83a0f9bff13073ddd93ac282b661da.png
Ultraman Blazar,,BLAZAR,BP01-042,https://img.ultraman-cardgame.com/images/card_details/0302adb4c3e0c21c6cc3e83b51de883e5fdc6eff.png
Ultraman Blazar,,BLAZAR,BP01-041,https://img.ultraman-cardgame.com/images/card_details/0932e1e7f5c076f1cf5b6fa8241039749951772f.png
Ultraman Blazar,,BLAZAR,BP01-038,https://img.ultraman-cardgame.com/images/card_details/a7827713cab8d21b43c247ed757e161fd756c38a.png
Ultraman Decker,Realiut Wave,DECKER,BP01-036,https://img.ultraman-cardgame.com/images/card_details/4155887f05034a5c5c773d49724c900f7f9ce18a.png
Ultraman Decker,Dolnade Breaker,DECKER,BP01-035,https://img.ultraman-cardgame.com/images/card_details/651eb3090fa575d5ca41fa24896c0be22f1128bb.png
Ultraman Decker,Flash Type,DECKER,BP01-034,https://img.ultraman-cardgame.com/images/card_details/7122f96cee392cf49564dfe01df8284a78ff55c6.png
Ultraman Decker,Flash Type,DECKER,BP01-028,https://img.ultraman-cardgame.com/images/card_details/b99c2c7a7290e39b566da1642e9af28e4f8e6129.png
Ultraman Mebius,Mebium Blade,MEBIUS,BP01-023,https://img.ultraman-cardgame.com/images/card_details/d63531ef9875b28c0aa280c5e967274dd3bf7f20.png
Ultraman Arc,Luna Armor,ARC,BP01-018,https://img.ultraman-cardgame.com/images/card_details/cbae6a29571d1c446159aa859982c235fcc4647f.png
Ultraman Arc,,ARC,BP01-016,https://img.ultraman-cardgame.com/images/card_details/a318f22847bf58377bca72e4942702b9b68e576a.png
Ultraman Arc,,ARC,BP01-010,https://img.ultraman-cardgame.com/images/card_details/2e9c6651d99492b92d04d79f4aad45923e04b78d.png
Ultraman Tiga,Runboldt Beam Shell,TIGA,BP01-009,https://img.ultraman-cardgame.com/images/card_details/f4c6d942bbbc5c6f812719e0c606b8dd779106e7.png
Ultraman Tiga,Deracium Beam Torrent,TIGA,BP01-008,https://img.ultraman-cardgame.com/images/card_details/c5ff7c20425b771a392c969aa0d36b661b7d909b.png
Ultraman Tiga,Sky Type,TIGA,BP01-006,https://img.ultraman-cardgame.com/images/card_details/78eabd3fa06ee1ac04e542a90b1673a45e4a28af.png
Ultraman Tiga,Power Type,TIGA,BP01-005,https://img.ultraman-cardgame.com/images/card_details/818c6c3b67c2cfc45397f9a64663368c3683e290.png
Ultraman Tiga,Multi Type,TIGA,BP01-003,https://img.ultraman-cardgame.com/images/card_details/0a47c809c0ac4c186294fafc4fae85e3a9275924.png
Ultraman Tiga,Multi Type,TIGA,BP01-002,https://img.ultraman-cardgame.com/images/card_details/269512aa87b656fe177d9b8a7c7d172fc6fd99b6.png
Ultraman Tiga,,TIGA,BP01-001,https://img.ultraman-cardgame.com/images/card_details/b418bb5f597e84913b921272c101fc21012a6d1f.png
Ultraman Zero,,ZERO,(PR-011)BP01-060,https://img.ultraman-cardgame.com/images/card_details/e336a19eb8a676167e2833c7291ff9197a4e1c15.png
Ultraman Arc,,ARC,(PR-010)(02)BP01-012,https://img.ultraman-cardgame.com/images/card_details/c9e00ce8f40d95cacaeec2d657b19c62a847e4ab.png
Ultraman Arc,,ARC,(PR-010)(01)BP01-012,https://img.ultraman-cardgame.com/images/card_details/6f418d5ba3ba0766fa6d8adef4ede13cf4eccff4.png
The Ancient Monster Gomora,,GOMORA,PR-004,https://img.ultraman-cardgame.com/images/card_details/a40624d83546ba09194cfd8a5c343241b841ed00.png
Ultraman: Rising,,-,(11)PR-001,https://img.ultraman-cardgame.com/images/card_details/e676f4aa28566b97a85244ff1e35e9f28abea3ce.png
Ultraman: Rising,,-,(10)PR-001,https://img.ultraman-cardgame.com/images/card_details/03c3112261e45d0613a76a85cafeacb818d047f5.png
Ultraman: Rising,,-,(09)PR-001,https://img.ultraman-cardgame.com/images/card_details/da7511e044a3bda2057d841cc196eea1c5a7f58e.png
Ultraman: Rising,,-,(08)PR-001,https://img.ultraman-cardgame.com/images/card_details/3a8d7b21735e2d24d66c8cb8b1eb2cb77b411646.png
Ultraman: Rising,,-,(07)PR-001,https://img.ultraman-cardgame.com/images/card_details/132cbed230e954997b9997c4681458e942e099da.png
Ultraman: Rising,,-,(06)PR-001,https://img.ultraman-cardgame.com/images/card_details/9d61add2c7a3204adcc1c7bc980783c50260f8cb.png
Ultraman: Rising,,-,(05)PR-001,https://img.ultraman-cardgame.com/images/card_details/6fb8c4516b2ee8dfa00e6007ad8d5855152d9d21.png
Ultraman: Rising,,-,(04)PR-001,https://img.ultraman-cardgame.com/images/card_details/16ba96c0c82dc5ec89f8e180aadfc9bad15b7223.png
Ultraman: Rising,,-,(03)PR-001,https://img.ultraman-cardgame.com/images/card_details/5c80383770ab4f7ad083bbb8b77cea658bd9f5e9.png
Ultraman: Rising,,-,(02)PR-001,https://img.ultraman-cardgame.com/images/card_details/5fc426bf34e0c03754fc788a49205ee32d343909.png
Ultraman: Rising,,-,(01)PR-001,https://img.ultraman-cardgame.com/images/card_details/3d8eef15d2f13989b8e382105a6ee63b1a66ad35.png
