name,type_name,character_name,number,image_url
The Super Synthetic Monster Neo Darambia,,NEO DARAMBIA,BP02-092,https://img.ultraman-cardgame.com/images/card_details/375be0fb0a02c69be62c913b3425ca8ce6e53fa9.png
The Evil God Gatanothor,,GATANOTHOR,BP02-091,https://img.ultraman-cardgame.com/images/card_details/4bb557af3a584ee1b5db938cd25f8b8eaaeba50f.png
The Space Dinosaur Zetton,,ZETTON,BP02-090,https://img.ultraman-cardgame.com/images/card_details/c88df4b8537dc76305723e93f17a3aed38b81ddd.png
The Ancient Monster Gomora,,GOMORA,BP02-089,https://img.ultraman-cardgame.com/images/card_details/949920c1e4c1714756f96783c0b6a6d6f2d2e42d.png
Ultraman Blazar,,BLAZAR,BP02-088,https://img.ultraman-cardgame.com/images/card_details/5031bda8c0aa06c2ed8c3faea2415887db5b4394.png
Ultraman Blazar,Tilsonite Sword,BLAZAR,BP02-087,https://img.ultraman-cardgame.com/images/card_details/33de99e598c7c64a6c58b992f5e4cc5d9b048ed1.png
Ultraman Blazar,Tilsonite Sword,BLAZAR,BP02-086,https://img.ultraman-cardgame.com/images/card_details/1ebb7c81fbb75cb604b33714ce2bfbf4ccc3771d.png
Ultraman Blazar,,BLAZAR,BP02-085,https://img.ultraman-cardgame.com/images/card_details/6ea907ede941c4f4e716b6639661f46cb0098f76.png
Ultraman Blazar,,BLAZAR,BP02-084,https://img.ultraman-cardgame.com/images/card_details/fa7e33aea94dcf0987b26aaed251a06e84c53803.png
Ultraman Blazar,Rainbow Slash,BLAZAR,BP02-083,https://img.ultraman-cardgame.com/images/card_details/50d3511a75459cd4eb32bf053bdd2d375bab0161.png
Ultraman Blazar,,BLAZAR,BP02-082,https://img.ultraman-cardgame.com/images/card_details/eab398042fd587b066451dae4072117e39f7854f.png
Ultraman Hikari,,HIKARI,BP02-081,https://img.ultraman-cardgame.com/images/card_details/9dda343a43ead477cf1a74d9a5601c7ade72b03c.png
Ultraman Hikari,,HIKARI,BP02-080,https://img.ultraman-cardgame.com/images/card_details/1a5af2d44a18ad2b91817b732a13537fa07f4253.png
